SOURCE	TARGET	ENZYMES
C06341	C15520	1.1.1.181;1.14.13.100
C06341	C15610	1.14.13.17;1.14.13.60;1.14.13.100;1.14.13.15
C06341	C06340	
C06341	C17336	1.14.13.17;;1.14.13.15;1.1.1.181;1.14.13.60;1.14.13.100
C06341	C15519	1.14.13.100
C15520	C15610	1.14.13.100
C15520	C15519	1.14.13.100
C15520	C17332	1.1.1.181;1.14.13.100
C06340	C05455	
C06340	CE5530	;1.14.13.-
C05455	C03772	;1.3.99.6;1.1.1.50
C05455	C02140	1.3.99.6
C05455	C00599	1.3.1.3
C05455	C00410	;1.3.99.6;1.1.1.145;1.3.1.3;5.3.3.1
C05455	C05293	1.3.99.6
C05455	C05477	1.3.99.6;1.1.1.50
C05455	C05469	1.1.1.50;1.3.1.3
C05455	C00735	;5.3.3.1;1.1.1.145;1.3.1.3
C05455	C05473	1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05471	1.1.1.50;1.3.1.3
C05455	C02797	1.3.99.6
C05455	C05452	;1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05479	1.3.99.6;1.1.1.50;1.3.1.3
C05455	C00762	;5.3.3.1;1.1.1.145;1.3.1.3
C05455	C03091	1.3.1.3
C05455	C05451	;1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05490	1.3.99.6
C05455	C17339	1.14.13.95
C05455	C00535	;1.3.99.6;1.1.1.145;5.3.3.1
C05455	C05475	1.3.99.6;1.1.1.50
C05455	C00028	;1.3.99.6
C05455	C00030	;1.3.99.6
C05455	C00280	;1.3.99.6;1.1.1.145;5.3.3.1
C05455	C03594	1.14.13.17;;1.1.1.181;1.3.1.3;1.3.99.6;5.3.3.1;1.1.1.145;1.1.1.50;1.14.13.95
C05455	C00619	1.3.99.6;5.3.3.1
C05455	C01780	1.3.99.6;1.3.1.3
C05455	C05453	;1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05457	1.3.99.6;;1.14.13.95;1.3.1.3
C03772	C05453	;1.3.99.6;1.1.1.50
C02140	C05453	1.3.99.6
C00599	C05453	1.3.1.3
C00410	C05453	;1.3.99.6;1.3.1.3
C00410	C05499	;5.3.3.1;1.1.1.145;1.14.99.9;1.14.99.10
C05293	C05453	1.3.99.6
C05477	C05453	1.3.99.6;1.1.1.50
C05469	C05453	1.1.1.50;1.3.1.3
C00735	C05453	;1.3.1.3
C05473	C05453	1.3.99.6;1.1.1.50;1.3.1.3
C05471	C05453	1.1.1.50;1.3.1.3
C02797	C05453	1.3.99.6
C05479	C05453	1.3.99.6;1.1.1.50;1.3.1.3
C00762	C05453	;1.3.1.3
C03091	C05453	1.3.1.3
C05451	C05453	;1.14.13.15;1.3.1.3;1.3.99.6;1.1.1.53;1.1.1.50
C05490	C05453	1.3.99.6
C00535	C05453	;1.3.99.6
C00535	C05458	1.3.99.5
C05475	C05453	1.3.99.6;1.1.1.50
C00028	C05453	;1.3.99.6
C00028	C05499	;1.14.99.9;1.14.99.10
C00028	C05458	1.3.99.5
C00030	C05453	;1.3.99.6
C00030	C05499	;1.14.99.9;1.14.99.10
C00030	C05458	1.3.99.5
C00280	C05453	;1.3.99.6
C00280	C05499	;1.14.99.9;2.8.2.2;1.14.99.-;5.3.3.1;1.1.1.145
C00280	C05458	1.3.99.5
C00619	C05453	1.3.99.6
C00619	C05458	1.3.99.5
C01780	C05453	1.3.99.6;1.3.1.3
C05453	C05457	1.3.99.6;;1.3.1.3
C05453	C05454	;1.14.13.15;1.14.13.-;1.14.13.67;1.3.99.6;1.1.1.53;1.1.1.50;1.14.-.-;1.3.1.3
C05457	C05458	1.3.99.5
C05499	C05138	;1.14.99.9;2.8.2.2;1.14.99.-;5.3.3.1;1.1.1.145;3.1.6.2;1.14.99.10;1.14.15.6
C05499	C01176	1.14.99.-;5.3.3.1;1.1.1.145;1.14.99.9;1.14.99.10
C05499	C05500	1.14.99.9;1.14.15.6
C05499	C00033	;1.14.99.-;1.14.99.9
C05499	C00377	1.14.99.9
C05499	C05497	1.14.99.9;1.14.99.10
C05499	C05498	1.14.99.9;1.14.99.10
C05499	C02373	1.14.15.6
C05499	C03336	1.14.99.9
C05499	C01227	1.14.99.9;2.8.2.2;1.14.99.-;5.3.3.1;1.1.1.145;3.1.6.2
C05499	C01953	1.14.99.9;2.8.2.2;5.3.3.1;1.1.1.145;3.1.6.2;1.14.99.10;1.14.15.6
C05458	C02940	1.3.99.5
C05458	C00674	1.3.99.5
C05458	C03917	1.3.99.5
C05500	C05501	1.14.15.6
C02373	C05501	1.14.15.6
C01953	C05501	1.14.15.6
C05501	C01695	1.14.15.6
C05501	C05502	1.14.15.6
