	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F157	4062766.05442502	6053184.57622334	4539817.53916965	2410524.84189472		6261425.36291864	4996856.80178147	3730302.56950925	2840298.3705386	6098792.64483011	4227321.73828017	3582902.55972056	2599384.22250224	3432824.18685806	2070473.67304992	4213587.26735884	4200746.12117017	4647031.72523042
F158	4798445.34249697	6489301.71447925	3686939.47696817	4919067.25554574	4007514.03436379	6870149.94935397	3760572.26559034	4931047.56392969	5305728.93659223	4046315.75808097	3662713.25530584	4637021.81632181	3253286.92392804	3764799.45315225	2658413.79676761	6493315.53592405	7900256.37112315	6966381.6133058
F159	2192890.28266306	1344183.41000665	1680587.11768097	1568902.40859111	2131587.29330226	2048270.59670908	1869424.82876269	3452052.65968595	3208138.52561598	4391197.26340449	2118574.54774636	6130198.62097112	4075462.05959019	3944884.13075948	5111780.09967102	2784193.61597658	2038553.50611073	3104416.93060107
F160	3390400.54090515	1327682.74592319	2712737.08087743	2227377.55621681	3129708.49618024	1987002.00132548	2023267.92007248	4649826.60144822	3642301.91253878	5449520.39422513	2697367.24724299	5915600.02146622	4519631.34217033	4449206.856242	5332437.12582714	2923138.43571097	2958576.19467413	2555974.21961858
F161	1435221.55016661	567366.235446992	1041468.7157585	873226.422569067	1105359.18569158	1236405.61501864	1098702.65646007	3066273.61843833	2246843.85751586	3448806.63414144	1370050.18004011	6559222.40112799	4036693.15006201	4294631.96651036	6625938.35116033	1361983.53359651	1126350.72807036	1541674.36140918
F162	5469353.22783069	5310198.74763518	5361766.88103717	6311755.7711847	4870156.9511596	6924523.60797802	5698811.02335366	7382745.56495269	6220147.80325144	7841673.46865923	6629488.15780756	7214058.84058083	4646431.74214453	5710537.20226579	5015081.99433103	4977621.52150988	5279990.97892936	6211291.29359586
F163	3011233.58126905	4318891.20777601	2665717.12872815	3285604.11001229	1787368.93293778	3863991.52540074	3162750.79681105	4616401.66771043	4209860.96011462	3239734.63122085	3601043.00906607	3275444.01104932	2460692.22264297	2656777.36704396	1716333.22776628	2218607.27439448	3217650.03680789	4156769.07849983
F164	2441717.97849311	7740609.48967648	3593537.47012997	4682231.7379514	2246524.07715058	5460716.84305075	6118106.82317938	6254855.64427355	5120436.54380455	4441955.65934385	5108015.04028248	3222997.80820093	3968737.98777254	5338244.93267129	2054793.44309052	3769505.42344404	3074313.86259129	4539490.76235334
F165	467621.438582072	1198072.48530451	794427.323602439	1397455.38579933	854975.193207854	3419150.60313484	725887.101181186	7677659.93130403	1473094.76793581	1390493.5549474	890849.778578976	3727054.82948968	967168.58750254	2009659.1443166	833461.981625809	1041613.45533687	976522.324866366	1235528.79981934
F166	2717177.0950667	3900235.09156942	3592584.07614841	3616575.06328003	3280806.76563406	4332009.19544489	3874535.88151288	6318981.48846352	5259175.28220096	5336942.16123649	3453134.90470312	7641268.91050488	4774858.58234783	6017283.25377941	5175706.26829142	3001136.77099834	2551641.40000644	2904639.15491288
F167	5252368.22596772	7216979.76049111	6131363.63446848	7601129.88077095	6588415.89663873	7262374.18269191	4743880.77721501	5640942.53188592	6043741.11566449	4086932.07963425	2328254.89989011	6504537.78307987	5885021.35844888	6284428.42475504	5296353.65294021	6232070.93311191	5316846.51463679	5144698.98033161
F168	2407094.72839197	7522114.15448233	3817399.22664295	4672458.36472169	2182844.47660363	5393527.39170261	5901434.98878808	6361832.05384589	5103001.55728391	4190336.09817426	5077405.58489035	3012750.89609792	3886031.0402925	4913140.95613332	1975810.88696866	3654315.43234301	3099205.62746789	4847394.04054502
F169	3256683.38018552	1257506.65388164	2391786.16691942	2167994.62214389	770662.198412974	834693.323658094	782910.185003369	1499930.94340366	1078773.31493048	2056379.00067145	1618152.83498444	758314.531995201	4631228.4587841	1634173.77239091	7462051.48288942	5105407.64480215	1037016.81680174	1304597.80602613
F170	3086396.63845925	4978001.16349249	4471663.89410119	4440648.91115365	3735399.87955221	6602167.05303116	3749318.00215823	5522589.82035743	5166337.01904319	4034151.66120718	3540994.22125137	7405449.26743157	4724993.65090214	5175255.21369549	3604193.66347145	5606585.80244945	4488807.1606855	5872463.01065116
F171	3535564.11069789	4792902.34821801	2140600.15770074	2310792.06544037	1915976.56003045	1783133.42019468	3005453.90707054	2838913.59118678	4005838.83279194	3250988.91914517	2692773.63994469	2169009.4011607	2552626.00405088	2493258.04431426	1517543.855898	3623386.13083379	4736858.15504539	3138481.33308533
F172	2793639.99113126	1921401.38658568	2279950.8051535	2186444.68096666	2798784.03221935	2036802.62949425	2311989.56499282	3644104.79791522	3568725.6973757	4321262.76884995	3095783.60904928	3142235.80921459	3292239.94970074	3241549.73069378	2790527.66751749	2420532.10368089	2324076.87850774	3285520.74831767
F173	2839415.56887845	1687574.35463594	1838830.65296307	1743923.46709893	2152941.33660588	3724518.20606143	2624647.71874445	4647986.35826459	2510790.75513617	2559119.1405525	1372835.04283116	6940721.74182934	2977928.88236271	4045694.85861547	3729223.49940716	1708007.84331016	1851841.60922963	1705999.25479993
F174	6914727.54683177	3515094.57591782	3178615.64913717	3278080.97639264	2524270.51395335	1909649.80165639	3435022.6391955	2227980.6827618	2966002.02212009	2949933.40467941	3025805.1393059	2096650.45417635	3183518.32082845	2621573.96920438	3332729.17593025	2865957.42973	3197355.90942928	2744957.26149657
F175	3045906.80278523	3639209.91773845	3006885.65078886	3485954.06354749	3278789.57118275	3894918.02927791	3542549.12909386	1734194.71469103	4075591.57915341	6883178.93834479	3083076.20909122	5840891.83864132	3596060.56766602	4013706.92826245	4084795.96008159	3612440.70038237	3987163.05162269	4450780.67924186
F176	3763895.90225895	5390167.83173186	4191142.59164217	5302265.85278324	3981443.53518289	5958638.7715802	4216555.11296425	5811454.13552505	5013524.20474191	6145850.14825208	4038896.83892135	5458859.2649828	4167763.02136286	4408568.60228295	3640343.04899066	6477875.46911885	5317862.08265612	6730794.37770615
F177	1881189.3967056	1676243.42779519	2263616.85033393	1851937.57630755	4372631.58049499	1207039.2918282	1270610.24297201	2140787.84094141	2010914.83235171	1805708.518986	1778811.81860013	2961355.95610708	1798766.63149845	1538525.33208074	1869125.57666986	2736568.27625156	2016965.53119327	2426757.78173649
F178	5229234.01325569	2012650.00684259	1875181.5436349	1467842.28095409	804761.648465017	868976.391554447	2177523.15892588	2643293.44822661	3085683.47183273	1917173.60865328	2370965.38348501	714441.058540593	2646776.63217756	1857383.24356071	1500999.72510121	4575368.56599437	4667312.14717099	6646157.46749867
F179	2471656.62462573	3859899.87087764	2424510.36487106	3987453.40228257	2262596.99540785	5784812.04865177	3067588.64046617	6568722.48615726	5518645.75776943	4119966.19253622	3249945.67067076	5376459.85539125	4510393.08925166	5817527.43955408	3210093.1390194	3331650.29788812	3255009.91165511	4078727.46117019
F180	3001126.61240914	4144436.69608822	3096609.81534216	3454314.74368717	3608281.19936391	5093097.48572787	3126914.92408491	4058558.73052095	4154505.07871409	5841797.31548611	2997033.36128982	5462951.75801418	3205624.05562088	3426201.34562315	3008308.9382259	3415879.71868714	4219709.75678973	4085681.82361859
F181	1896665.58734148	1273216.04582357	1628495.49138142	1551434.45724237	3108987.7994186	1040799.44086381	1119338.87228494	2108139.99670751	1771320.23347569	2178312.47315573	1391273.47224402	2821927.45938987	1974556.08541579	1966176.06946417	2072280.6373706	2304164.09984307	1768509.4844132	1705966.17843101
F182	1718823.44964259	2096223.7397824	2430301.31393547	2765670.59520901	2737236.74353771	3880845.67174109	1963765.82443679	3439724.76371246	3105636.79615806	2606408.48909307	1811682.27960612	6467154.66963175	2763476.39412279	2942530.30695731	3199412.41623114	3616839.67516677	3337440.38206194	3092313.76933439
F183	2128576.4371819	3615027.9155771	2467170.0525387	2343579.37737023	2536302.90265093	3406193.1266412	2990623.40041256	4109675.18635077	3636682.0230656	6342063.50223592	2766872.88926042	3642036.21037053	2651456.40213076	2437118.40635679	2335061.15393812	2799708.12612087	2288110.13835921	3260768.19407989
F184	4195624.76781632	2094016.77621176	3650958.17917523	2769212.72451568	1682353.84663587	2023878.36083438	2652917.22433368	2376331.0667453	3409441.25629262	2223546.71249692	4241686.28775779	1544568.09985788	5875415.04004183	3013812.39544126	6319047.84153892	4034204.8198391	3772844.0592843	4158238.46415111
F185	2562847.39652191	4391265.06766641	2780613.46122698	3985604.09864954	3527626.97027583	4979272.45805419	1349212.12962559	3025725.37525486	2802164.59493116	2746366.60711424	1241852.48648134	2809915.02839659	1386941.3417759	2775916.27627638	671660.166253886	3969038.80013406	4785629.48056526	6202897.26744802
F186	4352639.44946859	5066602.06164821	4006923.6111531	3920588.56647285	3336673.77684664	4120525.85776119	5080319.9215849	5464812.66711048	5700489.22606723	6259740.90329983	2990620.67064297	4031986.77040108	3261949.77512926	5709200.34386082	4759163.91164037	3436770.4562165	3836950.04269589	4022134.21733116
F187	5079253.81887253	6193850.34651004	4023780.64395886	4468771.46340475	2987814.70643647	1931363.09931918	6137607.93813177	2271198.47918026	5765113.78956963	2895206.72434313	5655441.07628575	3097926.12856553	4736127.7240322	4995163.06436574	3169717.42872717	5300408.6789009	5444048.04275657	4716654.44852656
F188		6182513.97513194	5846056.39283053	3181412.62493531	2402989.12433536	3514809.30167545	6057381.51227288	2204416.0080191	5446576.46762297	5121097.53958663	5295125.38230754	3126036.88366604	5487850.39151057	4589332.65475825	5855399.6796777	2816419.42694909	5710801.32555374	2742156.55504936
F189	3770003.87360779	4928517.55617159	4334084.24315228	5712911.37893559	4097863.40557067	4121005.65825568	4429894.25889783	3683147.05430154	3801765.59247568	5145728.42721361	5639127.88459075	4962825.03286736	4098893.11062911	4470532.76891212	2772587.6460858	4628710.97547011	3660697.48241584	5007376.69102561
F190	3801153.20869802	5418023.21440606	4049220.06181898	4951634.95320991	4822321.85605009	3711846.32574603	2626037.7539821	4136721.85904863	4304794.89367248	3793930.22348371	2490613.77645078	2612914.56112038	2675841.76791052	4051149.76786931	2018374.90974098	4843755.54347005	5196211.0053353	6021476.14384223
F191	1587574.30370394	4747361.76441249	2362950.04003033	3796845.15591597	2366757.29307619	3759860.65168915	3803878.39081382	3946343.23496411	3575543.70635326	2837499.31554454	3541543.80498178	3894402.90064063	4016654.92988714	4124790.14125262	2351739.20281235	2758896.90894287	1695583.83778884	3567501.15086451
F192	2846626.35610656	3325476.42802683	3423181.0777317	4375219.80059642	5190553.78243155	4869580.37835592	2197628.72720159	4524027.84325338	3455353.64567369	3550026.16337548	2064491.62831254	5874909.70332452	3340151.66429671	4541715.78473282	3170367.46128072	5036294.58958385	4736544.76479093	4085341.23527201
F193	2447422.21430731	1128918.91583144	2044372.91120261	1573778.58824958	2604418.14871125	1556383.73172745	1566009.69662623	3454590.94384183	2470315.43985258	3867134.85590535	1942320.64869614	3828920.99946082	3585079.14038426	3657304.22319109	3652032.54877758	1829274.16905106	1374236.53658739	2100634.84769114
F194	1959046.17042612	3032228.74049752	2189940.34173391	3419833.29491295	2731859.83768889	5733766.75024627	1634187.00649509	5805630.89291205	3531301.16147385	3401405.81563765	1808652.16970379	5490125.3681966	2977882.50915518	3606865.63165501	2342292.69995448	2331492.17852853	1925263.05869321	2910294.25183344
F195	775342.035692196	1192719.96192815	481543.713062296	1720171.33879318	433667.955477121	1610081.82946618	666638.609268601	2248173.15709724	2002097.80597026	1822231.99216807	723264.954710916	1110630.68442876	1357403.15214751	1802437.94555463	612442.277961998	1044491.88006874	726428.107071337	2544647.08734671
F196	693402.374039561	3092808.57107804	1004792.68480953	1143046.357396	1038573.71779972	3819623.96642595	746930.946199808	4705070.63175399	3566634.55297601	3026227.5879534	689268.044924391	5737492.64167066	1241720.30512404	1559672.2064877	1495461.95830622	1165861.39367642	2924364.69913594	1145342.79603064
F197	2723622.74057855	1584087.75583954	1465022.57110655	1669900.61782893	1900037.22820566	4418500.32344259	1714309.9239332	3173127.43544438	1592418.48229596	1952824.59175481	1285117.20447261	3339271.9427865	1944095.90275447	3472508.05406148	1331991.47035249	1744639.81438666	1846231.50741482	2522642.39266295
F198	4842483.45842669	4911328.28876598	4255745.70385125	4433699.36439404	4591340.18556109	5260959.11598318	4822712.38641137	5705025.23830717	5240970.15579414	5515696.78237877	5341673.94822306	5104199.28618632	5590963.27231032	5690980.07719341	4847531.27748453	4771264.69955999	5298051.65784348	5210750.46453439
F199	55959.2001035071	2648307.15513732	82785.4055947216	3512221.03216257	2586651.20153779	4940969.49624906	1778309.88625461	4089103.82206454	3066851.01187303	2596373.23851705	1687729.23747781	2782561.05190147	2596549.05413535	3634539.42780686	2579342.18336077	3139496.38585733	2972856.17402751	2894654.58422689
F200	1592908.69536348	2464250.7209383	1976766.90310942	2496246.42743696	1750468.28901718	4579177.91812812	2021820.22473022	4763371.61892117	3447074.17764475	2856679.12175734	1890442.06263429	5663579.18274274	3130045.57912754	4954480.20683387	3140454.7803834	1971803.77664792	2265959.74265191	2053363.44410673
F201	2489113.66162995	4009211.53483435	2836288.34915138	3180139.06052918	2416220.32226591	3788051.42281884	3600226.11926475	5262649.8352574	4341871.24862814	4209553.20233909	3351811.44083362	4309358.7261472	4049258.83995149	5120717.42318545	3607552.62020697	2777953.12140577	2914373.58183193	3074773.20663899
F202	113485.29173303	31304.1234859927	151147.256263388	39612.6728018417	116411.914255155	54649.9098108595	114411.689754019	73554.5015422692	5573917.13452842	63961.9050964008	101308.044831563	105284.763616942	82798.7670146667	88470.8202754951	76294.4275665677	84864.8374363771	84084.6222668238	77005.8326493484
F203	3982279.70911965	5208136.7536863	4780849.63066979	4468627.81936694	3994578.55577949	4592412.36869838	4512962.18648181	4967115.68717193	4848652.64161565	4478247.21317101	4233216.80172284	4511463.8825235	4904841.99474906	5541868.48777501	4563400.98170834	4211848.10452181	4080891.54042591	4329556.85900596
F204	4969796.43813015	3747914.95732196	5458934.43001632	4025329.673935	4671163.5061168	5402793.51851282	3473724.5112144	3493720.44360037	4496591.11822717	3758644.15530429	2727844.53276821	3323141.31648001	2618487.32712189	3686539.32086658	2751853.99166248	4799060.2759237	4698167.02410935	4861673.49508469
F205	2697634.61968235	4520020.88783478	4095835.94344693	4994899.31399036	3624057.64170341	5456905.58116313	2056630.22239884	4605159.20590576	3581440.39191633	3336718.60908075	1744108.89278269	4957298.89415336	2555988.5587702	4556866.6149159	2495335.29488528	4295958.64648252	4706619.23665579	5177062.09395647
F206	2127013.00166754	925313.261873215	1686835.56463055	1667149.62853232	1916442.89073649	1492063.25786979	1259587.49864366	2797232.80748432	2321293.77324472	3583007.79468927	1733454.79500178	4536102.65156532	2940820.58401196	2740870.06776979	3824317.54191204	2158156.53598649	2036976.88238205	1845222.94900452
F207	3061823.89476826	3671718.92729669	3294939.70069466	3485611.89449421	4192084.52038838	3262750.17693332	1947769.26857136	2124710.62902117	2297838.54325406	2271009.01056745	2096620.78042261	3242172.46616876	1912285.40459234	2025595.29027851	1352361.30347062	4201956.31972823	4107911.716666	5385693.52460863
F208	1316113.70944356	2030130.90858833	1364842.11479003	2568445.61430481	961957.056448053	1625581.37381412	3145909.23767777	4239240.39983966	4407667.58195241	5309195.56092603	2559604.45470551	1619979.78069377	3187550.84807638	4810153.07550632	1565245.16109411	1095794.88696079	1293535.66046958	2895517.10295183
F209	3431895.63071011	4543795.12273237	3242390.97886805	3789974.5632545	3844867.0202023	4671836.89370763	3449108.67723756	3736232.49685412	3537717.28481634	4538017.67523783	2724042.63154855	4141975.3348461	3245624.67045624	3476931.67111097	3123087.53843841	4011580.84317401	3960974.2600724	3634544.48042958
F210		2209401.95582558	1450887.5629179	2457823.27138123	1509948.27790467	3468457.72455023	1017277.57842536	3158168.85319961	2365343.33521687	1495415.10244116	542641.489871922	5260598.9966213	2063415.7199363	4044127.37693863	1387811.94629153	2060461.30563128	1642158.02128736	2033153.94174208
F211	2887195.91177128	1418167.16095096	1787816.71045659	1666141.18797259	1055235.58101287	1347648.006894	1754143.6615911	2656440.91425043	2909937.88691174	1791927.45078999	1959192.97548933	1273595.62220587	2582483.60974191	2654857.24565921	2029881.27183613	3107981.85177048	2572824.29562753	2883949.82189412
F212	2310383.60682718	2045650.55421554	2855623.25336724	2909208.69226725	3188987.5231347	3389329.10077525	34012.2940436207	4058311.22248287	2659491.30592696	3623135.74008382	1842087.99217039	5118134.06865227	3245825.66172419	4614934.15331007	3653386.79373609	2845410.56318732	2451083.68830326	2286825.91890433
F213	697286.375736249	423876.811322015	526710.52384789	530186.675796622	2039062.32070739	634338.505992292	864158.629737111	1214466.15999335	1247596.63202256	2543408.77414183	1093764.22654109	1540365.73317007	2355980.90985578	1101379.86703438	1410294.23117794	500705.181444837	426643.912214293	682359.457165254
F214	1111243.46631788	471837.800649826	722509.186926247	637239.352117258	794490.964542573	913494.187334938	878190.725843447	2088252.59860481	1683506.42528197	2501418.5734285	1075035.3990881	3810932.55918685	2390050.85273136	2351471.65926918	3576918.08488509	1121205.71898766	859984.460821298	1231721.09095806
F215	1872351.13250224	2736926.70762678	2407087.95129061	2942041.10128371	3076872.76928434	3140825.45673003	2325996.30347322	2894865.79744785	2682024.2440396	3354234.53435776	2072644.78590716	5078331.89588314	3199948.75989983	2822801.10392874	2949260.30644191	3690649.24331614	2643449.10161722	3014023.20783369
F216	1695243.50535396	1021459.85172301	1369664.86334724	1007222.34456992	2034768.67992587	1125330.01940117	1786191.0544714	3228853.3193949	2480888.43529863	3726074.71809777	2225400.41673331	3699417.7296213	4037617.98493297	4225944.82011126	3008766.72560507	898342.474052915	921942.843566893	1036591.20475466
F217	2388569.70033002	2191248.93197734	1880872.67862028	1784903.78873608	2315455.5185832	1566415.70699348	2266210.95475202	2198257.39516862	2433120.25809673	2530030.35783893	2210296.69496832	2054672.74713008	2470543.79599309	2259014.6120754	2461956.77875411	2186720.36339473	1826791.66147962	2197506.86611706
F218	2811782.53358106	3131656.28242017	3634587.41910801	3372651.71697886	4215177.27694262	3827513.83294746	2457022.48809303	3958502.15058088	3194384.9163595	4015532.79272669	2976001.19620174	4970175.14770093	3035679.01712619	3956246.34193063	3344145.44042882	3527837.38750101	2974331.93011354	3621797.16800967
F219	927635.822593042	2696818.75317368	1519400.34400949	1578658.13029202	969971.376644377	2903452.9433847	2178080.13855509	3789102.51346721	2558625.1721857	2356888.39974638	1775081.13750643	2299247.44283865	2372768.54197622	3236801.0516966	1354794.27379162	1247373.81954649	1126387.57464812	1780390.47673709
F220	84809.9998334924	185270.095412416	149178.41809457	144194.570074783	227271.139815622	165403.55825628	85058.8191905602	155914.439011255	122590.013778997	123565.742222811	56318.8695218173	258081.952699449	89399.3115988219	154177.135977276	143727.372943767	165030.697737447	4940781.2363678	140711.476451459
F221	365728.111043462	897284.859887721	455193.890810801	882787.113189079	419210.574267867	3432681.33561507	813537.62615614	4880820.35070321	2239719.95244359	2212272.33291726	816797.19016752	2972171.94921587	1353641.63292859	1504237.87500781	1206542.03907708	329984.868799662	402869.34811276	972912.119023608
F222	1703045.64964357	1338666.98081394	718754.413940375	1021561.1427978	753042.011496101	3695043.7241852	901504.815336932	4805089.64195891	3933680.1070909	3477692.85581393	783320.326219224	1840770.15302733	2522714.18436478	2573301.36966493	1089544.66449858	699011.635623233	667922.730444867	871415.712892685
F223	2792944.36638922	3274970.82594814	2788240.92028545	2966536.01361123	3099519.21669935	4312573.65895847	2803446.9112421	3583458.79826382	2986084.2366852	4685604.04194567	2454331.28507784	4311756.82556425	2452349.89677933	2795663.32427761	2513740.18529929	2757782.15741085	3633260.56390614	3337171.41953875
F224	1999365.05366268	860227.058824332	1556169.2487483	1356790.51469535	1843955.93733339	1123335.30191306	1421463.65004876	2799972.66466563	2187096.47774859	3032076.86264412	1555084.26443421	3521569.81473913	3031651.14872921	3155126.79305871	3463732.89896126	1602779.20357234	1334489.14872746	1247851.67550427
F225	2094165.62373718	3391727.08687325	2804097.00909381	2860589.2975494	2269955.75588171	3036978.0775309	2810545.52000504	4287981.87466772	3615702.90432934	2714876.17677885	2488145.21926948	4297254.65591895	3535588.9426977	3867305.13822796	2621944.23840982	3549535.06023005	2403068.75397016	2854718.86751579
F226	2104867.57666365	3330037.51263903	2643426.89207494	3548003.27329513	2379067.95188395	4381164.71595738	3071203.55336013	4730024.80774071	4385548.35126239	4346296.7928272	1045695.51242509	1539005.21757754	3339258.3308655	1410232.9915612	3116684.57565654	2124642.38661094	2191581.10759807	2754542.96115932
F227	1764984.63561038	1492563.50960587	1311350.12776059	1392771.54924668	2906171.66523571	1024765.28302151	1378491.21830602	1947576.36809952	1905127.24977676	2159154.76317123	1965564.64522356	1870980.61310215	1794973.99673985	1423285.35515685	1389553.59121639	1760322.85504624	1176723.13784568	2200769.41965824
F228	1904774.53740767	1262508.59039891	1378890.89707701	1334646.28588889	1570363.14452417	1187977.13628423	1335394.31984057	1985485.13450527	2025283.23141562	3053334.50538432	1545692.29477258	3173398.78860979	2394579.23197	2374019.84987759	2642684.33053768	2164466.86473328	1770499.00675941	1871753.42054925
F229	2767164.69734733	3482742.63687156	3354167.53538538	3861224.30232152	3243330.775259	4499566.37526726	2437119.18538929	3870314.79126866	2925410.24102521	3781292.92921115	2409218.40095818	1366498.98859429	2346435.73522482	3111788.06824058	2366085.77207665	3138623.67034501	2783112.17412617	3674446.44165677
F230	1985071.64707524	3343236.74274085	1842473.66235837	1822590.96953808	1517570.5419766	2710155.36828391	2312504.85875878	3200935.30102502	2813892.1694233	2266640.06229921	2225918.20863193	2849051.55446302	1919551.12643166	1946548.45553427	1386298.65805519	1836513.72455646	1984022.36120985	2344623.94699489
F231	2323672.20431437	3041814.92893093	3312420.60917614	3221360.55514397	4441022.90056306	3509620.07328722	2470620.09934331	3600720.67951237	2989375.66237537	3352078.86607171	2410351.16780789	4212200.05071223	3122983.53439142	3705004.52617343	3052384.12417001	3203424.23561219	2531252.55338757	2998783.28327615
F232	407924.210881127	1067720.79033439	1264922.80865935	1796598.77199819	1619118.5961166	2085803.02072465	1075096.21972387	2042900.26527782	1468180.17545091	1626993.70923806	1234043.11279741	4419194.46130425	1585225.13759497	1498688.95619958	1228232.14078778	1575156.47790483	335261.426103818	1436011.00008396
F233	2038162.72718823	3382007.15105403	1885629.45330349	1861118.73375095	1593399.46827163	2849973.32117057	2389033.08140819	3244214.66118084	2952865.54881494	2380793.75866638	2269770.52979204	2805208.79732214	2036751.48898679	2005745.76612648	1423765.19592866	1872403.81720236	1984982.44893942	2395914.06169578
F234	1550938.92076428	771292.229566318	1767399.58794831	941491.735570447	579387.330720216	556850.444171768	1268415.39586147	1920705.82226164	1847395.73074265	1460509.78578409	1604128.21612972	738028.785298488	3408544.00646108	4390487.30436756	2049454.9819409	1027589.69160557	1060587.90094399	1318100.37521907
F235	1823922.36650092	951063.179910976	1278939.32065663	1336593.36148	737991.917713802	928840.218684093	1489907.72027993	2555962.1935086	2531350.86023727	1169710.2961306	2510696.27674699	1007201.58026392	2161156.22510196	2470532.82659674	1689538.80593975	1910336.45359236	1400765.58035034	2020707.6474664
F236	1773665.74812904	936048.522414662	1070016.31409352	920857.124445073	777890.489218961	727152.574894482	1541325.23567977	2858783.98772436	2628692.82538569	1724965.84341826	2688697.55241949	1505731.19596477	2837165.53394315	3240168.06726638	2098357.58286062	1038821.27013446	988097.062895281	1157875.16924734
F237	875073.21691386	1159748.28012852	3000582.29651965	1069586.71030849	1915419.39258345	1594461.12666393	489922.525408391	2770521.27002808	960988.462235896	832942.783219998	425612.074611166	4384419.78528439	645350.078364365	960212.451779076	474701.440063858	1940704.69530903	3516242.07038483	4152762.74225203
F238	1252005.10709259	1337776.87698735	1294050.15650453	1851981.97612853	1654010.69589764	1637537.151675	1140391.58893887	2058446.11346582	1689057.24534469	1296592.99677835	1376996.99183221	1522903.34412587	1461471.28202087	1763453.69601894	1066303.98364572	2180458.4351793	1227878.16731455	2286633.55096978
F239	1915770.47169358	2068763.53720225	2229752.46617786	2756038.94510328	3091156.53934398	2283846.91439277	1948106.21984887	3319779.35806498	1646443.42593568	1695881.00181534	1427763.73964048	4248408.95384011	1055877.4907119	2738813.28827033	476200.64103099	2804335.05024605	2504602.79180319	2799065.21502249
F240	1643360.38520287	846750.684150048	958833.459068987	834644.380886971	614455.133761455	557876.515420052	1413970.69632951	2688336.24981762	2228521.60714752	1442237.34281607	2051376.5851293	1024911.29766519	2931404.64402367	3446897.17649111	1944320.45982231	1089976.4330634	910239.143124448	1169021.43875275
F241	361813.145765197	720093.156893182	501467.478476406	958620.250707788	538869.554497492	4292093.58993683	452581.719148815	4302996.07489531	1577385.88891051	2141680.77003233	481480.991105778	2731437.61361832	792922.529297887	1111049.31160214	775140.631110987	526514.64248665	546140.432488667	1514653.41410537
F242	2589534.15405206	3723513.3388078	2016032.28961692	2624309.48716478	2211497.75455347	3783290.5186534	2131883.87273561	2795329.48833093	2881978.62822316	2217817.34541952	1993283.22064623	2510935.70452533	1754180.44471918	2189136.3953648	1468403.95536791	3607320.48257297	4291848.96923943	3777280.01440987
F243	2514680.94125308	3283900.86619408	3170238.8249362	3358713.4557221	3185467.66652401	3544804.94147014	2756791.15808749	3634606.79534387	3406725.60858057	3128673.03850715	2520380.5651671	3827813.85609378	3439713.84640336	4290627.89749117	3747696.88591195	2971143.56469833	2777327.9283046	2935468.40044891
F244	1502026.19680162	3925044.3949458	2274757.56321029	2739119.00871852	1047301.87824971	3374466.22368202	2755644.20212579	4275310.79038253	3334264.0396302	2539885.85002429	2317497.64769911	1843324.36739836	2451762.597703	3491195.73773899	1289757.97910752	1398633.44016687	1935269.08411898	3093146.19689749
F245	1820139.14736988	742374.329437874	1670350.1995776	1497048.34755394	1172731.31181128	737955.475387287	1650097.07625406	1716698.87380828	1705630.83034033	1882998.86604568	2416375.44529058	1127963.50355468	2020248.26826355	1587595.98976034	2069473.80950641	2056310.45716145	1866657.92592297	1084480.05223385
F246	1670639.76415433	1693973.28048441	1287907.78133667	1080892.37356399	1321428.00264734	2725466.10602458	35658.5403420836	4119133.88948756	3186635.95096006	2829035.84884329	1672738.45243173	3914496.65629101	2360486.64629637	3215026.65490438	1227836.61980913	1075821.26249999	1117095.41725871	1103125.97284321
F247	1113460.93399756	2674319.63781246	1641149.91833125	1327178.56219942	703454.603281366	1993210.07349182	2983552.15680262	3980149.59665343	3517992.61971534	3102667.49419402	2032010.08841096	1844981.89426286	3274863.11826895	3534711.68322051	1930736.26466816	929609.710948978	921449.395793108	1266785.36920151
F248	337870.670071602	359712.981507622	3881187.23428525	403990.257473437	3971912.29610497	301819.106342773	376600.219824139	325402.778762964	325897.664467173	366854.212516935	386921.932113225	336756.014575186	386643.394768629	315648.922926127	401556.527804259	393174.91609479	332975.765026253	310980.185912431
F249	1694078.15534824	1151822.00478447	1440718.93243596	1333663.55122637	1530059.01388648	1237006.04726636	1291655.24576936	2112892.91924489	2064360.50839111	2441983.97301333	1559612.30744709	1915482.22199661	1852716.41024358	1756659.43203396	1621993.95434819	1618268.06325435	1461729.77667269	2100645.19472975
F250	1700369.66698956	2869937.41384906	1813818.05840622	2921224.90894737	1772444.7318709	3508733.90023909	2182612.78825914	2978127.05478794	2719857.97691772	2462559.39538114	2003111.4785909	3470849.14023321	2597582.10086834	3119879.43915889	1724553.14350363	2370845.85785232	2117254.54674864	3442439.82309694
F251	2193885.87890362	2375576.05969089	2209619.99964972	2462313.17318084	2206625.89250119	2573466.73443888	3461763.82153754	2775710.39147934	2647323.28499245	2352735.76223482	1382282.10680191	2577051.24057664	1981264.04538535	3592211.83881799	2017141.87835048	2124345.21014928	2262760.7070918	1993591.72351655
F252	735120.229781099	2659412.23680835	2524777.36250217	3558736.11721281	859836.194786128	3860246.52749914	1775893.304989	1115392.57366714	945500.588180129	2839182.7608303	1644212.18857423	2910230.36764111	708246.691721187	925748.072634186	782101.191837645	1093910.56521596	3042208.8829385	3018122.13701334
