"S0"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"	"S15"	"S16"	"S17"
29.7404803946239	29.9059309642225	29.7440542802051	29.9617184410496	29.8643372678175	30.1383444059582	29.718749542474	29.8289652541877	29.6974253840939	29.4654135903238	29.6187503112139	29.6848841806367	29.6842847431634	29.5634297679518	29.7088919871448	29.9750009804618	30.0884694117665	29.9188608421001
28.5353717648621	28.1576950658816	27.9409604218372	27.8707461668125	28.4784316407634	27.624284090753	28.3204900380181	28.2635488437471	28.4746669484901	28.6454838976187	28.3677323607752	27.9107204132772	28.3587448496826	28.1339461265367	28.0717984380521	28.1844163017699	28.2448686722859	28.435372965533
28.8848703954383	28.9911246877003	28.840816243892	28.7830763020994	28.3235511452503	28.9277656985623	29.1977096194956	29.1018331375788	29.0078957868523	29.0861306748251	29.1341562866923	28.7328289264944	28.9125277282252	29.1484184602322	29.0486817051066	28.5621464160359	28.8041800841327	28.6044071132026
28.7425221452644	28.9187296152855	28.8698681762259	28.9680606995763	28.8159086106017	28.8996241509811	28.7259956458845	28.9231573229969	28.8030767189111	28.3868701346712	28.4691499300519	28.9120427201105	28.9556309414545	29.1315448094317	29.2024513431404	28.8057755203836	28.7875432465667	28.4701609518322
28.5454249445731	28.883710875724	28.7689066573782	28.6555613023628	28.5176186652709	28.7906353039629	28.692683118497	28.749205039172	28.6576935286441	28.5940024265157	28.5007575082109	28.6508375584744	28.7721142521796	28.9218528916376	28.7506275881099	28.500356468786	28.572220714591	28.4757196478748
27.6831796117615	26.9749258258878	27.3947001207464	27.2339291188274	27.8362902262284	26.9346513304954	27.4732293076102	27.5644254825447	27.6162467138089	27.9719082723564	27.6752360383168	27.4264185016125	27.628578227537	27.492985764991	27.6048007139917	27.2700232337481	27.2769412454561	27.5874271132735
27.5719476045312	26.8892814931953	27.1988660297542	27.0597589542928	27.2894342682255	26.8257772324979	27.0927625431982	27.2584681760615	27.4162008078729	27.6466982980142	27.431942797099	27.0846818598936	27.4057643126431	27.2051154680488	27.3283866592027	27.2231760383555	27.3220300579914	27.6232280749997
28.2283632007612	28.299173716238	28.424877659226	28.3687827573782	28.481273768614	28.2300101952177	27.8074620766303	27.8742369287837	27.800984158851	27.8593364267941	27.7708498221493	28.082093976029	27.6634082538368	27.98813893127	27.9419831831877	28.2875161766403	28.4632070051561	28.3108419591218
28.0226952667807	28.154321522372	27.9172573262316	27.8263020712704	27.6263634115273	27.9403898887464	28.1667852308188	27.9804848155384	28.1378600975522	28.2381516317535	27.9318868423328	27.601060528575	27.8731096885146	28.1162768942969	27.9495425563377	27.6435265345443	27.9198306488296	27.886329441445
26.8429287979113	26.4592632265195	26.4540223339085	26.4548967085979	27.4920196206858	26.2520187453865	26.7826710508894	26.826804218084	26.816359727744	27.0895593755914	26.9718144112816	26.6762925016344	26.927526732858	26.5869911523867	26.7428475330537	26.8933961026388	26.3528010025746	26.9657756850917
