pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Prostaglandin formation from dihomo gama-linoleic acid	0	1	0.0348710192420805			
C21-steroid hormone biosynthesis and metabolism	0	3	0.0348710192420805			
Starch and Sucrose Metabolism	0	0	0.0348710192420805			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.0348710192420805			
Omega-6 fatty acid metabolism	0	2	0.0348710192420805			
Phytanic acid peroxisomal oxidation	0	0	0.0348710192420805			
Pentose phosphate pathway	0	0	0.0348710192420805			
Methionine and cysteine metabolism	0	0	0.0348710192420805			
Lysine metabolism	0	0	0.0348710192420805			
Selenoamino acid metabolism	0	0	0.0348710192420805			
