massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	885.54802	16.302	1.0	-0.017056141141934576	N1
row2	804.5751	19.724	1.0	0.011308358163319768	N2
row3	883.53182	15.792	1.0	-0.03420996449883525	N3
row4	802.55911	18.807	1.0	-0.19423068527567441	N4
row5	762.50662	17.058	1.0	-0.04758312086945248	N5
row6	826.55882	18.392	1.0	0.16066669191056765	N6
row7	747.5652	16.792	1.0	0.2738630173112444	N7
row8	540.33037	10.662	0.0	0.8173819215069865	N8
row9	850.55826	18.167	1.0	0.12729836699643696	N9
row10	500.27797	9.825	1.0	-0.010000297350899863	N10
row11	819.51703	16.348	1.0	-0.050665481355898156	N11
row12	828.57385	19.224	0.0	-0.9389101886415498	N12
row13	568.36144	11.98	1.0	0.6010312867888	N13
row14	887.56249	17.004	1.0	-0.016101502872951808	N14
row15	773.53171	17.523	1.0	-0.026442797368359458	N15
row16	764.52207	17.408	1.0	-0.10688757185747336	N16
row17	465.30387	13.098	1.0	0.34372900420737645	N17
row18	738.50735	17.228	1.0	0.08976894053673963	N18
row19	566.34622	10.886	1.0	0.096494395364369	N19
row20	854.58935	20.033	1.0	-0.2007814715255568	N20
row21	857.51657	15.592	1.0	0.022195951553681228	N21
row22	856.60557	21.713	1.0	-0.07547875522386466	N22
row23	480.3093	10.665	1.0	0.6007478364574005	N23
row24	480.30913	11.502	1.0	-0.030312814884420183	N24
row25	524.2777	9.895	1.0	-0.020352625847092114	N25
row26	311.1685	9.113	1.0	0.03999671444384184	N26
row27	766.53811	18.281	1.0	-0.026383340160942566	N27
row28	514.28391	6.249	1.0	0.1014071695552048	N28
row29	325.18407	9.794	1.0	0.02713741354324519	N29
row30	452.27793	10.317	1.0	-0.01904466119656419	N30
row31	852.57342	18.599	1.0	-0.20599292684129325	N31
row32	776.54354	18.335	1.0	0.10610098364555438	N32
row33	788.52134	17.266	1.0	-0.08352990750826425	N33
row34	859.53205	16.114	1.0	-0.073134494916646	N34
row35	771.51653	16.826	1.0	0.07239133968515249	N35
row36	953.53476	16.285	1.0	-0.10415314951497298	N36
row37	339.1997	10.45	1.0	-0.044882969870426906	N37
row38	747.51686	17.74	1.0	0.14369897071428248	N38
row39	810.52722	17.947	1.0	-0.02265963283557412	N39
row40	865.50078	15.758	1.0	-0.04145058776265266	N40
row41	599.3192	10.812	1.0	0.22013526063952388	N41
row42	800.54367	18.044	1.0	-0.18214526229234215	N42
row43	782.49663	16.731	1.0	-0.09367288139355716	N43
row44	588.33005	10.104	1.0	0.15023971606207367	N44
row45	795.51673	16.512	1.0	0.11115482317165121	N45
row46	745.50158	16.495	1.0	0.2431041510262207	N46
row47	740.52112	17.584	1.0	-0.20592578244663434	N47
row48	619.28792	9.223	1.0	0.451278339133174	N48
row49	478.29404	10.637	1.0	-0.1736667383350193	N49
row50	265.14805	8.045	1.0	-0.22446166149776278	N50
row51	861.54689	16.201	1.0	-0.2972994223057532	N51
row52	872.5609	19.757	1.0	-0.02533969976936066	N52
row53	612.3297	10.164	1.0	0.042954813696257046	N53
row54	566.34542	11.731	1.0	0.05563518342874064	N54
row55	564.33018	10.071	1.0	0.05945331687157844	N56
row56	817.50131	16.074	1.0	0.012390529462477104	N57
