ACer
Am-Hex-LPE
Am-Hex-PE
CAR
CDP-DG
CE
CL
CPA
Cer
CerP
CoA
DG
DGCC
DGDG
DGMG
DGTA
DGTS
EPC
FA
FAHFA
FAL
FOH
Glc-GP
GlcADG
Hex(10)-HexNAc(5)-Cer
Hex(2)-HexNAc(2)-Cer
Hex(2)-HexNAc-Cer
Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer
Hex(2)-HexNAc-KDN-Cer
Hex(2)-HexNAc-NeuAc(2)-Cer
Hex(2)-HexNAc-NeuAc(3)-Cer
Hex(2)-HexNAc-NeuAc-Cer
Hex(2)-HexNAc-NeuGc-Cer
Hex(2)-KDN-Cer
Hex(2)-NeuAc(3)-Cer
Hex(3)-Cer
Hex(3)-Fuc-Cer
Hex(3)-HexNAc(2)-Cer
Hex(3)-HexNAc(2)-Fuc(2)-Cer
Hex(3)-HexNAc(2)-Fuc(2)-NeuAc-Cer
Hex(3)-HexNAc(2)-Fuc-Cer
Hex(3)-HexNAc(2)-Fuc-NeuAc-Cer
Hex(3)-HexNAc(2)-NeuAc(2)-Cer
Hex(3)-HexNAc(2)-NeuAc-Cer
Hex(3)-HexNAc(2)-NeuAc-NeuGc-Cer
Hex(3)-HexNAc(2)-NeuGc-Cer
Hex(3)-HexNAc(3)-Cer
Hex(3)-HexNAc(3)-NeuAc-Cer
Hex(3)-HexNAc-Cer
Hex(3)-HexNAc-Fuc(2)-Cer
Hex(3)-HexNAc-Fuc-Cer
Hex(3)-HexNAc-Fuc-KDN-Cer
Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer
Hex(3)-HexNAc-Fuc-NeuAc-Cer
Hex(3)-HexNAc-Fuc-NeuGc-Cer
Hex(3)-HexNAc-KDN(2)-Cer
Hex(3)-HexNAc-KDN-Cer
Hex(3)-HexNAc-NeuAc(2)-Cer
Hex(3)-HexNAc-NeuAc(2)-NeuGc-Cer
Hex(3)-HexNAc-NeuAc(3)-Cer
Hex(3)-HexNAc-NeuAc(4)-Cer
Hex(3)-HexNAc-NeuAc(5)-Cer
Hex(3)-HexNAc-NeuAc-Cer
Hex(3)-HexNAc-NeuAc-KDN-Cer
Hex(3)-HexNAc-NeuAc-NeuGc-Cer
Hex(3)-HexNAc-NeuGc(2)-Cer
Hex(3)-HexNAc-NeuGc-Cer
Hex(3)-NeuAc-Cer
Hex(4)-Cer
Hex(4)-Fuc-Cer
Hex(4)-HexNAc(2)-Cer
Hex(4)-HexNAc(2)-Fuc(2)-Cer
Hex(4)-HexNAc(2)-Fuc(2)-NeuAc-Cer
Hex(4)-HexNAc(2)-Fuc(3)-Cer
Hex(4)-HexNAc(2)-Fuc-Cer
Hex(4)-HexNAc(2)-Fuc-NeuAc-Cer
Hex(4)-HexNAc(2)-NeuAc(2)-Cer
Hex(4)-HexNAc(2)-NeuAc-Cer
Hex(4)-HexNAc(2)-NeuGc(2)-Cer
Hex(4)-HexNAc(2)-NeuGc-Cer
Hex(4)-HexNAc(3)-Cer
Hex(4)-HexNAc(3)-Fuc(2)-Cer
Hex(4)-HexNAc(3)-Fuc-Cer
Hex(4)-HexNAc(3)-Fuc-NeuAc-Cer
Hex(4)-HexNAc(3)-NeuAc-Cer
Hex(4)-HexNAc(3)-NeuGc-Cer
Hex(4)-HexNAc(4)-Cer
Hex(4)-HexNAc(4)-Fuc-Cer
Hex(4)-HexNAc(4)-NeuAc-Cer
Hex(4)-HexNAc-Cer
Hex(4)-HexNAc-Fuc(2)-Cer
Hex(4)-HexNAc-Fuc-Cer
Hex(4)-HexNAc-Fuc-NeuAc(2)-Cer
Hex(4)-HexNAc-Fuc-NeuAc-Cer
Hex(4)-HexNAc-NeuAc(2)-Cer
Hex(4)-HexNAc-NeuAc-Cer
Hex(4)-HexNAc-NeuGc(2)-Cer
Hex(4)-HexNAc-NeuGc-Cer
Hex(5)-Cer
Hex(5)-HexNAc(2)-Cer
Hex(5)-HexNAc(2)-Fuc-Cer
Hex(5)-HexNAc(3)-Cer
Hex(5)-HexNAc(3)-Fuc(2)-Cer
Hex(5)-HexNAc(3)-Fuc(2)-NeuAc-Cer
Hex(5)-HexNAc(3)-Fuc(3)-Cer
Hex(5)-HexNAc(3)-Fuc(3)-NeuAc-Cer
Hex(5)-HexNAc(3)-Fuc-Cer
Hex(5)-HexNAc(3)-Fuc-NeuAc-Cer
Hex(5)-HexNAc(3)-NeuAc(2)-Cer
Hex(5)-HexNAc(3)-NeuAc-Cer
Hex(5)-HexNAc(3)-NeuGc-Cer
Hex(5)-HexNAc(4)-Cer
Hex(5)-HexNAc(4)-Fuc(2)-Cer
Hex(5)-HexNAc(4)-Fuc-Cer
Hex(5)-HexNAc(5)-Cer
Hex(5)-HexNAc(5)-Fuc(2)-Cer
Hex(5)-HexNAc(5)-Fuc-Cer
Hex(5)-HexNAc-Cer
Hex(5)-HexNAc-Fuc-Cer
Hex(5)-HexNAc-NeuAc(2)-Cer
Hex(6)-Cer
Hex(6)-HexNAc(3)-Cer
Hex(6)-HexNAc(3)-Fuc(2)-Cer
Hex(6)-HexNAc(3)-Fuc-NeuAc-Cer
Hex(6)-HexNAc(3)-NeuAc-Cer
Hex(6)-HexNAc(3)-NeuGc-Cer
Hex(6)-HexNAc(4)-Cer
Hex(6)-HexNAc(4)-Fuc-Cer
Hex(6)-HexNAc(4)-Fuc-NeuAc-Cer
Hex(6)-HexNAc-Cer
Hex(7)-Cer
Hex(7)-HexNAc(3)-Cer
Hex(7)-HexNAc(3)-Fuc(2)-Cer
Hex(7)-HexNAc(3)-Fuc-Cer
Hex(7)-HexNAc(4)-Cer
Hex(7)-HexNAc-Cer
Hex(8)-Cer
Hex(8)-HexNAc(4)-Cer
Hex(8)-HexNAc(4)-Fuc(2)-Cer
Hex(8)-HexNAc(5)-Cer
Hex(8)-HexNAc-Cer
Hex(9)-HexNAc(5)-Cer
Hex(9)-HexNAc(7)-NeuAc(4)-Cer
Hex-HexNAc-Cer
Hex2Cer
Hex3Cer
HexCer
IPC
LBPA
LPA
LPC
LPE
LPG
LPI
LPIM1
LPIM2
LPIM3
LPIM4
LPIM5
LPIM6
LPS
LSM
LSQMG
M(IP)2C
MG
MGDG
MGMG
MGTS
MIPC
NA
NAE
NAPE
NAT
NeuAc2Hex2Cer
NeuAcHex2Cer
NeuAcHexCer
PA
PC
PE
PE-NMe
PE-NMe2
PG
PGP
PI
PIM1
PIM2
PIM3
PIM4
PIM5
PIM6
PIP
PIP2
PIP3
PPA
PS
PS-NAc
SHexCer
SLBPA
SM
SPB
SPBP
SQDG
SQMG
ST
TG
WD
WE
