Bithionol
Tetradifon
Trimethylamine-N-oxide
3-aminopropan-1-ol
1-Amino-propan-2-ol
2-(methylamino)ethan-1-ol
(S)-(+)-2-Amino-1-propanol
3-Aminopropanol
2-Aminopropanol
(R)-1-Aminopropan-2-ol
2-Chlorobiphenyl
4-Chlorobiphenyl
Ethionamide
Indolylmethylthiohydroximate
2-[(2-Furanylmethyl)thio]-6-methylpyrazine
2-Methyl-3 or 5 or 6-(furfurylthio)pyrazine (mixture of isomers)
Honaucin A
Acenaphthenequinone
5-chloropentanoic acid
3-keto valeric acid
5-oxo-pentanoic acid
2methyl-3-ketovaleric acid
2-keto valeric acid
Levulinic acid
Acetoxyacetone
Ethyl pyruvate
3-methyl-2-oxo-butanoic acid
Methylacetoacetic acid
(2E)-4-hydroxy-3-methylbut-2-enoic acid
dimethyloxirane-2-carboxylic acid
4-hydroxy-3-methylbut-2-enoic acid
4-hydroxy-2-methylbut-2-enoic acid
2,3-dimethyloxirane-2-carboxylic acid
(2Z)-2-(hydroxymethyl)but-2-enoic acid
2-(hydroxymethyl)but-2-enoic acid
methyl 3-hydroxybut-2-enoate
3-keto-2-methylbutyrate
N-Methylpyridinium
Deoxyribose
1-Deoxy-D-xylulose
2,3-dihydroxy-valeric acid
(R)-2,3-Dihydroxy-isovalerate
2,3-Dihydroxy-2-methylbutanoic acid
(R)-glycerol 1-acetate
1-Deoxy-D-xylulose
Deoxyribose
3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid
2-Deoxy-alpha-D-ribopyranose
2-Deoxy-L-arabinose
2,3-Dihydroxy-3-methylbutanoate
2-Deoxy-D-Ribose
1-Deoxy-D-xylulose
2,3-Dihydroxyvaleric acid
2,3-Dihydroxy-3-methylbutyric acid
Dihydropteridine
4-Aminopyridine
Methylpyrazine
D-Alanyl-(R)-lactate
3-Amino-2,3-dideoxy-scyllo-inosose
4-Methyl-L-glutamate
beta-Alanopine
L-Glutamate methylester
Acetylhomoserine
N-Acetylthreonine
(+/-)-2,2'-Iminobispropanoic acid
Acetylhomoserine
Glutamate, gamma-methyl ester
N-methyl-L-glutamic Acid
2-Aminoadipic acid
hydroxybutyrylglycine
L-2-aminoadipic acid
O-Acetyl-L-homoserine
D-Galactosamine
Nojirimycin
Kanosamine
1-Amino-1-deoxy-scyllo-inositol
beta-D-Glucosamine
Fructosamine
D-Glucosamine
D-Mannosamine
D-Talosamine
neo-Inosamine-2
L-Altrosamine
D-Gulosamine
L-Idosamine
D-Allosamine
7-Aminomethyl-7-carbaguanine
(S)-MG132
(R)-MG132
Netilmicin
Netilmicin
Taurocholic acid
Taurohyocholate
Tauro-b-muricholic acid
N-Taurocholate
Taurallocholic acid
Tauroursocholic acid
Taurohyocholic acid
